layer,head,val_acc,train_acc
19,8,0.8754863739013672,0.8700000047683716
15,27,0.6225680708885193,0.6033333539962769
14,18,0.6108949184417725,0.6033333539962769
20,4,0.6031128168106079,0.6333333253860474
14,4,0.5719844102859497,0.5833333730697632
15,26,0.4902723729610443,0.4883333444595337
3,22,0.4591439664363861,0.49166667461395264
8,27,0.4474708139896393,0.4716666638851166
19,17,0.4124513566493988,0.4566666781902313
19,9,0.4124513566493988,0.4466666877269745
21,5,0.3151750862598419,0.33500000834465027
15,11,0.3035019338130951,0.3333333432674408
15,13,0.2723735272884369,0.3083333373069763
21,6,0.2684824764728546,0.2600000202655792
6,28,0.2568093240261078,0.3149999976158142
8,21,0.24513618648052216,0.2800000011920929
14,21,0.23346303403377533,0.24000000953674316
14,20,0.21789883077144623,0.23499999940395355
19,13,0.21789883077144623,0.2316666692495346
14,23,0.20233462750911713,0.20000000298023224
15,21,0.18677042424678802,0.17166666686534882
21,2,0.17898832261562347,0.21833333373069763
19,31,0.17898832261562347,0.1599999964237213
15,15,0.17120622098445892,0.17166666686534882
20,10,0.17120622098445892,0.19500000774860382
19,21,0.1595330685377121,0.20666667819023132
2,27,0.1595330685377121,0.18666666746139526
17,21,0.15564201772212982,0.22500000894069672
12,7,0.15175096690654755,0.18833333253860474
21,23,0.15175096690654755,0.15166667103767395
14,19,0.143968865275383,0.13833333551883698
16,11,0.14007781445980072,0.13500000536441803
19,28,0.13618676364421844,0.1433333307504654
2,16,0.12451361864805222,0.12166666984558105
17,23,0.12451361864805222,0.1550000011920929
6,15,0.11284046620130539,0.0650000050663948
4,21,0.10894941538572311,0.125
21,19,0.08171205967664719,0.07500000298023224
16,22,0.08171205967664719,0.1433333307504654
21,7,0.08171205967664719,0.09166666865348816
20,22,0.07782100886106491,0.05166666954755783
5,13,0.07782100886106491,0.038333334028720856
22,8,0.07782100886106491,0.1133333370089531
20,14,0.07392995804548264,0.06666667014360428
8,18,0.07392995804548264,0.061666667461395264
13,24,0.07003890722990036,0.07500000298023224
18,18,0.07003890722990036,0.07500000298023224
17,18,0.07003890722990036,0.07999999821186066
14,14,0.06614785641431808,0.0650000050663948
6,21,0.06225680932402611,0.04833333566784859
