layer,head,val_acc,train_acc
19,8,0.14424951374530792,0.15929941833019257
14,4,0.13450291752815247,0.15179316699504852
15,11,0.12670564651489258,0.1326105147600174
15,15,0.12085770070552826,0.13177648186683655
15,27,0.11695906519889832,0.12677231431007385
20,4,0.10916179418563843,0.12343619763851166
19,17,0.10526315867900848,0.10508757084608078
15,26,0.09941520541906357,0.11759799718856812
21,5,0.08966861665248871,0.12510424852371216
14,23,0.08382066339254379,0.06005004048347473
14,18,0.07992202788591385,0.09841534495353699
19,21,0.0760233923792839,0.08256880939006805
17,21,0.0760233923792839,0.08590491861104965
5,1,0.07407407462596893,0.04003336280584335
15,13,0.07212475687265396,0.07005838304758072
21,6,0.07212475687265396,0.11676397174596786
19,9,0.07017543911933899,0.10675562918186188
4,21,0.07017543911933899,0.07422852516174316
3,22,0.07017543911933899,0.06005004048347473
13,24,0.07017543911933899,0.06088406965136528
0,24,0.06822612136602402,0.04336947575211525
17,28,0.06822612136602402,0.06588824093341827
2,13,0.06432748585939407,0.04003336280584335
19,13,0.06042885035276413,0.06588824093341827
15,21,0.06042885035276413,0.06422018259763718
2,6,0.06042885035276413,0.046705588698387146
2,30,0.06042885035276413,0.03669724613428116
21,2,0.06042885035276413,0.07589658349752426
20,10,0.06042885035276413,0.06088406965136528
15,2,0.05847953259944916,0.07339449226856232
2,1,0.05847953259944916,0.057547956705093384
7,11,0.05847953259944916,0.05421184375882149
17,18,0.05847953259944916,0.06588824093341827
23,18,0.05847953259944916,0.047539617866277695
5,9,0.05847953259944916,0.055879898369312286
10,12,0.056530214846134186,0.05004170164465904
8,10,0.056530214846134186,0.06755629926919937
3,15,0.056530214846134186,0.06422018259763718
15,20,0.056530214846134186,0.07339449226856232
17,22,0.056530214846134186,0.03586322069168091
19,18,0.056530214846134186,0.06171809881925583
14,20,0.056530214846134186,0.056713927537202835
0,18,0.056530214846134186,0.05170975625514984
16,21,0.056530214846134186,0.040867388248443604
8,28,0.054580897092819214,0.03753127530217171
20,7,0.054580897092819214,0.03669724613428116
8,20,0.054580897092819214,0.055879898369312286
12,21,0.054580897092819214,0.06255212426185608
13,2,0.054580897092819214,0.05254378542304039
10,23,0.054580897092819214,0.06922435015439987
